id,kategori,teks
1,Gejala,"Jika pasien mengalami batuk lebih dari 2 minggu, disertai darah dan keringat malam, arahkan ke Spesialis Paru untuk indikasi Tuberkulosis (TBC)."
2,Gejala,"Jika pasien anak mengalami demam tinggi lebih dari 3 hari disertai bintik merah, arahkan ke Spesialis Anak (dr. Budi Santoso, Sp.A) untuk suspek Demam Berdarah."
5,FAQ,"Jam besuk RS Hermina: Pagi pukul 10:00 - 12:00, Sore pukul 17:00 - 19:00."
6,FAQ,"Untuk pendaftaran menggunakan BPJS, pasien diwajibkan membawa surat rujukan aktif dari faskes tingkat pertama."
8,Gejala,Nyeri dada sebelah kiri yang menjalar hingga ke lengan atau rahang merupakan tanda serangan jantung darurat. Segera arahkan pasien ke IGD.
9,Gejala,Sakit kepala hebat disertai pandangan kabur pada ibu hamil adalah tanda preeklamsia. Arahkan ke Spesialis Kandungan.
100,Layanan,"Layanan Poliklinik Jantung: Unit layanan medis rawat jalan yang berfokus pada pencegahan, diagnosis, pengobatan, dan pemantauan gangguan kardiovaskular (jantung dan pembuluh darah).."
101,Layanan,"Layanan Poliklinik Mata: Instalasi layanan medis di rumah sakit atau klinik yang berfokus pada diagnosis, perawatan, dan pencegahan gangguan kesehatan mata. ."
102,Dokter,"Dokter dr. Fahmi Prisma Putra Dani Sp.JP adalah spesialis Kardiologi Intervensi & Aritmia. Usia: 42 Tahun
Spesialisasi: Kardiologi Intervensi & Aritmia
Afiliasi: Kepala Departemen Kardiologi di Jakarta Heart Center"
103,Jadwal,Jadwal praktik dr. Fahmi Prisma Putra Dani Sp.JP (Kardiologi Intervensi & Aritmia): tanggal 2026-06-28 jam 10:00 - 13:00. Sisa kuota pasien: 10.
